beer_id,look,smell,taste,feel,overall,score,num_reviews
5,3.5597319347319347,3.307983682983683,3.430944055944056,3.407051282051282,3.51486013986014,3.4569199769717907,1737
6,3.835223245924876,3.5715804394046775,3.6828490432317507,3.585046066619419,3.707122608079376,3.6603842230533834,2941
7,3.396202980837473,3.3165365507452096,3.2455642299503196,3.252306600425834,3.336053938963804,3.2869418331374853,3404
9,3.1152482269503547,2.9361702127659575,3.1099290780141846,3.129432624113475,3.374113475177305,3.186969696969697,231
10,3.9421529175050303,3.7791750503018107,3.797032193158954,3.7771629778672033,3.836267605633803,3.805017441860465,1720
17,3.479338842975207,3.191689623507805,3.245408631772268,3.336317722681359,3.406795224977043,3.317142857142857,2149
26,3.601063829787234,3.3058510638297873,3.452127659574468,3.4468085106382977,3.529255319148936,3.4641717791411044,163
27,3.5921052631578947,3.3289473684210527,3.3991228070175437,3.4298245614035086,3.508771929824561,3.3657142857142857,98
30,4.155112983531214,4.1517617770968975,4.2748946763692075,4.130792799693604,4.169475296821141,4.231448071216617,5055
31,3.8796296296296298,3.832647462277092,3.8810013717421126,3.8146433470507546,3.9579903978052124,3.890860820595334,2486
32,3.9382352941176473,3.9411764705882355,3.9833333333333334,3.966666666666667,4.020588235294118,4.024243697478991,476
33,4.125445544554456,4.092673267326733,4.21970297029703,4.113267326732673,4.153564356435644,4.1980872340425535,4700
34,4.24491410488246,4.24994349005425,4.382007233273056,4.285996835443038,4.31871609403255,4.316989800874211,10295
35,3.6129032258064515,3.2580645161290325,3.5,3.403225806451613,3.5161290322580645,3.4003174603174604,63
39,4.171121251629726,4.217486962190352,4.283898305084746,4.1659876140808345,4.273631029986962,4.249399038461538,6656
42,3.478723404255319,3.228723404255319,3.4627659574468086,3.3297872340425534,3.478723404255319,3.353,70
44,3.375,3.1607142857142856,3.532142857142857,3.442857142857143,3.6357142857142857,3.4043478260869566,92
54,3.706989247311828,3.4587813620071683,3.5,3.4417562724014337,3.6146953405017923,3.526388888888889,324
55,4.017421602787456,3.7630662020905925,3.8693379790940767,3.731707317073171,3.887630662020906,3.858092485549133,346
58,4.12262156448203,4.063953488372093,4.123150105708246,4.062896405919662,4.079281183932347,4.082411674347158,651
59,4.104584809130263,4.071133412042503,4.189590712317985,4.091696182605274,4.210842188114915,4.1567727272727275,5500
61,4.223729227761486,3.998900293255132,4.137463343108505,4.068914956011731,4.125244379276637,4.092579101302845,3761
63,3.926283126467628,3.677960415967796,3.8796544783629656,3.840573633009057,3.9670412613217043,3.8494690410063717,6121
65,2.5873152286008936,2.2689068408387763,2.4437091784118254,2.4737882433826055,2.644293571674115,2.363814241486068,6460
66,2.4570175438596493,2.16140350877193,2.283333333333333,2.4096491228070174,2.442105263157895,2.069891500904159,553
69,3.356164383561644,3.1381278538812785,3.291095890410959,3.3059360730593608,3.5810502283105023,3.296125,320
74,3.7058550185873607,3.6565985130111525,3.492565055762082,3.4356412639405205,3.5480947955390336,3.46272048530098,2143
75,3.9318181818181817,3.659090909090909,3.7045454545454546,3.5681818181818183,3.8181818181818183,3.6926923076923077,26
85,4.0928571428571425,4.045112781954887,4.071804511278195,3.9368421052631577,4.064285714285714,4.068126721763085,1089
86,4.053294573643411,3.798449612403101,3.938953488372093,3.923449612403101,3.9844961240310077,3.908516624040921,391
88,4.133473274626255,4.1792443170182265,4.2258345279541265,4.125844767560926,4.208171206225681,4.203715093672676,11316
89,3.9251101321585904,3.7549559471365637,3.8992290748898677,3.859030837004405,3.9768722466960353,3.822393048128342,748
90,4.134211753731344,3.929920708955224,4.058535447761194,3.9888059701492535,4.040578358208955,3.999976207470854,4203
92,4.263086946753538,4.0733543024039545,4.208885643675578,4.117782520781847,4.105088744102449,4.149088303282478,10815
93,3.6137048192771086,3.417921686746988,3.5715361445783134,3.5896084337349397,3.7018072289156625,3.5591316931982635,691
96,4.083741830065359,3.8986928104575163,4.112745098039215,4.010212418300654,4.093545751633987,4.0431813361611875,943
97,3.69815668202765,3.474654377880184,3.5990783410138247,3.627880184331797,3.6785714285714284,3.6158126721763084,363
